nohup: ignoring input
/root/ot_image_refactored/model/text_guided_sde.py:144: SyntaxWarning: invalid escape sequence '\i'
  """用于在损失函数中计算 \int ||v_t||^2 dt"""
/root/miniconda3/lib/python3.12/site-packages/clip/clip.py:137: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(model_path, map_location="cpu")
[VAE] 正在从本地加载权重: /root/autodl-tmp/sd-vae-ft-mse
[CLIP] 正在物理强制加载本地权重文件: /root/autodl-tmp/clip/RemoteCLIP-ViT-L-14.pt
🚀 Started Training: V35_TextGuided_ENOT_Base | Logs: /root/autodl-tmp/runs/V35_TextGuided_ENOT_Base/tb_logs
Epoch [6/100] (eps=0.0150) [800/852] |██████████████████--| G=2.2221 D=0.0313 dir=0.0864 nc=14.3195 [0.38s/it]
Epoch [6/100] (eps=0.0150) [850/852] |███████████████████-| G=1.8253 D=-0.0094 dir=0.0608 nc=16.0747 [0.39s/it]
Epoch [6/100] (eps=0.0150) [852/852] |████████████████████| G=2.0591 D=-0.0284 dir=0.0616 nc=13.5245 [0.36s/it]
Epoch [7/100] (eps=0.0175) [050/852] |█-------------------| G=1.9102 D=0.3036 dir=0.0542 nc=12.5728 [0.39s/it]
Epoch [7/100] (eps=0.0175) [100/852] |██------------------| G=1.6168 D=1.3912 dir=0.0696 nc=12.5484 [0.38s/it]
Epoch [7/100] (eps=0.0175) [150/852] |███-----------------| G=2.6977 D=0.3096 dir=0.0562 nc=15.1794 [0.38s/it]
Epoch [7/100] (eps=0.0175) [200/852] |████----------------| G=2.3794 D=-0.2844 dir=0.0719 nc=13.4233 [0.38s/it]
Epoch [7/100] (eps=0.0175) [250/852] |█████---------------| G=2.1045 D=-0.2466 dir=0.0552 nc=14.6405 [0.39s/it]
Epoch [7/100] (eps=0.0175) [300/852] |███████-------------| G=1.7068 D=-0.0352 dir=0.0656 nc=9.8206 [0.38s/it]
Epoch [7/100] (eps=0.0175) [350/852] |████████------------| G=1.7580 D=1.1706 dir=0.0763 nc=10.8898 [0.38s/it]
Epoch [7/100] (eps=0.0175) [400/852] |█████████-----------| G=2.7722 D=-0.2335 dir=0.0657 nc=11.5129 [0.45s/it]
Epoch [7/100] (eps=0.0175) [450/852] |██████████----------| G=1.5261 D=-0.4910 dir=0.0435 nc=11.4604 [0.38s/it]
Epoch [7/100] (eps=0.0175) [500/852] |███████████---------| G=3.0706 D=-0.7381 dir=0.0336 nc=11.9677 [0.39s/it]
Epoch [7/100] (eps=0.0175) [550/852] |████████████--------| G=1.5517 D=0.1816 dir=0.0585 nc=13.3884 [0.38s/it]
Epoch [7/100] (eps=0.0175) [600/852] |██████████████------| G=1.2379 D=-0.7115 dir=0.0567 nc=11.3762 [0.38s/it]
Epoch [7/100] (eps=0.0175) [650/852] |███████████████-----| G=2.9182 D=0.2435 dir=0.0725 nc=14.7019 [0.39s/it]
Epoch [7/100] (eps=0.0175) [700/852] |████████████████----| G=2.3997 D=0.2563 dir=0.0729 nc=14.1843 [0.38s/it]
Epoch [7/100] (eps=0.0175) [750/852] |█████████████████---| G=2.2104 D=-0.5796 dir=0.0652 nc=11.6270 [0.38s/it]
Epoch [7/100] (eps=0.0175) [800/852] |██████████████████--| G=2.1203 D=-0.4401 dir=0.0564 nc=12.7816 [0.38s/it]
Epoch [7/100] (eps=0.0175) [850/852] |███████████████████-| G=1.9637 D=0.2153 dir=0.0642 nc=13.0298 [0.38s/it]
Epoch [7/100] (eps=0.0175) [852/852] |████████████████████| G=2.2754 D=-0.2020 dir=0.0625 nc=14.9892 [0.44s/it]
Epoch [8/100] (eps=0.0200) [050/852] |█-------------------| G=3.3761 D=-0.7210 dir=0.0568 nc=13.8637 [0.46s/it]
Epoch [8/100] (eps=0.0200) [100/852] |██------------------| G=3.3268 D=-0.4339 dir=0.0655 nc=12.7183 [0.39s/it]
